text_clean,true_label,predicted_label,confidence,prob_negative,prob_positive
excellent thank you,negative,positive,0.9983605742454529,0.0016394482227042317,0.9983605742454529
very nice food thank you so much,negative,positive,0.9983281493186951,0.0016718775732442737,0.9983281493186951
delicious food fried chicken just awesome overall very good,negative,positive,0.9981972575187683,0.0018028196645900607,0.9981972575187683
existing and very testy food,negative,positive,0.9981308579444885,0.0018691495060920715,0.9981308579444885
thank you the food is very tasty,negative,positive,0.9978480339050293,0.0021520114969462156,0.9978480339050293
thanks saffron restaurant your food is simply amazing,negative,positive,0.9978277087211609,0.0021723078098148108,0.9978277087211609
the pastry and pudding tasted amazing the quality of momo is decreasing each passing day please make the price reasonable,negative,positive,0.9977989792823792,0.0022010039538145065,0.9977989792823792
the packaging is great,negative,positive,0.9977602958679199,0.002239713678136468,0.9977602958679199
sharma s test is absolutely amazing,negative,positive,0.9977541565895081,0.0022458331659436226,0.9977541565895081
wow it was delicious my sis super happy for your pizza thanks a lot,negative,positive,0.9976529479026794,0.0023470199666917324,0.9976529479026794
very worst service ever day by day food panda delivery person behavior is too worst they dont have dress not ever food warmer box no hygine maintain,positive,negative,0.9976392984390259,0.9976392984390259,0.0023607653565704823
the waffles were very crunchy soft and delicious i will order again,negative,positive,0.9976104497909546,0.0023895450867712498,0.9976104497909546
tehari ta onk moja kintu mangsen pis gula valona eita sotti kacchi best tehari ta o best,negative,positive,0.9975770115852356,0.0024230426643043756,0.9975770115852356
their burger and nachos both disgusting just waste if money,positive,negative,0.9975335597991943,0.9975335597991943,0.0024664336815476418
i asked for korola bhaji and in the bill korola bhaji is written but dherosh bhaji has been delivered i am satisfied with this service at all,negative,positive,0.9974823594093323,0.0025176252238452435,0.9974823594093323
was good and tasty,negative,positive,0.9974547028541565,0.0025453264825046062,0.9974547028541565
i have ordered kacchi and burhani and paid for it through bkash but they didn t send burhani,positive,negative,0.9972890615463257,0.9972890615463257,0.0027109666261821985
the amount of liver was very low just a very bad experience full of gila not what i expected,positive,negative,0.9972654581069946,0.9972654581069946,0.0027345300186425447
totally bad food wasted of money,positive,negative,0.9972460269927979,0.9972460269927979,0.0027539737056940794
the worst food i have ever eaten from not only food panda but also anywhere on earth how can you call yourselves a cook shame on the cook at least you have cooked something edible chi,positive,negative,0.9972068667411804,0.9972068667411804,0.002793146064504981
excellent service but the food tasted off,negative,positive,0.997180700302124,0.002819283166900277,0.997180700302124
i often order chicken biryani from here food quality is improved and healthy,negative,positive,0.9971666932106018,0.002833347301930189,0.9971666932106018
the food was amazing i like they re tehari,negative,positive,0.9970622658729553,0.0029377799946814775,0.9970622658729553
very good food and very good service,negative,positive,0.9970531463623047,0.0029467884451150894,0.9970531463623047
khub e baje experience mutton pcs akdom e choto r pcs haddi,positive,negative,0.9970476031303406,0.9970476031303406,0.002952361246570945
the lemon tart is great,negative,positive,0.9970183372497559,0.0029816559981554747,0.9970183372497559
faluda ta onk moja,negative,positive,0.997016429901123,0.002983578946441412,0.997016429901123
totally bad very bad food they serve their food cold its not hot people can get sick,positive,negative,0.9969645142555237,0.9969645142555237,0.0030354387126863003
dahi fuska was very testy,negative,positive,0.9968552589416504,0.0031447410583496094,0.9968552589416504
food taste was fantastic but few lollipops were bit too small and i habe received only chicken lollipops instead of,negative,positive,0.9964937567710876,0.003506215987727046,0.9964937567710876
